comp1;comp2;Substance;Matched Substance;Color;Supplyrisk;Geography;ecoinvent_UUID;cas_number;Unit
Raw;in ground;;;;0.005865223595077108;AU;;;kg Cu eq/kg
Raw;in ground;Antimony;Antimony;#e377c2;0.01500850999553307;AU;47262180-8308-5d4c-9332-c77617e032ef;7440-36-0;kg Cu eq/kg
Raw;in ground;Arsenic;Arsenic;#f7b6d2;1.039084234595555;AU;e16fd15c-0ebc-55ba-8d3b-9704f13663cb;7440-38-2;kg Cu eq/kg
Raw;in ground;;;;0.1336625366703495;AU;;;kg Cu eq/kg
Raw;in ground;Barium;Baryte;#7f7f7f;0.06302816979323288;AU;240177d8-6f3b-43f5-8d1e-0c18114dfa02;7440-39-3;kg Cu eq/kg
Raw;in ground;Aluminium;Bauxite;#bcbd22;6.750673916849842e-06;AU;a45cd247-3532-4e27-bddc-b519fdb5e08f;7429-90-5;kg Cu eq/kg
Raw;in ground;Clay, bentonite;Bentonite;#aec7e8;0.03185940809172194;AU;93806a54-46f5-409c-99c5-4144a1e73b5d;1302-78-9;kg Cu eq/kg
Raw;in ground;Beryllium;Beryllium;#ffbb78;18.46318107085427;AU;68f7bc03-0665-55a1-bd99-96530eab30e2;7440-41-7;kg Cu eq/kg
Raw;in ground;Bismuth;Bismuth;#cccccc;10.17756461975439;AU;0124b342-4bdd-5cbf-ba2a-dce8a259755c;7440-69-9;kg Cu eq/kg
Raw;in ground;Borax;Boron;#c7c7c7;0.2229486365521346;AU;eead2933-c2be-4a53-a0bd-bd33b67e4145;1303-96-4;kg Cu eq/kg
Raw;in ground;Boron;Boron;#bcbd22;0.2229486365521346;AU;b053aa52-bfac-5435-a0b1-4ca374b0e991;7440-42-8;kg Cu eq/kg
Raw;in ground;Cadmium;Cadmium;#dbdb8d;0.008058678170946087;AU;bf377e4f-3a95-4ce2-a9ba-66ee31f00f60;7440-43-9;kg Cu eq/kg
Raw;in ground;Chromium;Chromite;#f7b6d2;0.2270855685022906;AU;e189e2d4-3d3f-4ada-b302-91611784311f;7440-47-3;kg Cu eq/kg
Raw;in ground;Cobalt;Cobalt;#ff9896;1.153274227961336;AU;d0779a5e-6969-4144-954e-ceb81fb83f15;7440-48-4;kg Cu eq/kg
Raw;in ground;;;;2.221982239129881e-05;AU;;;kg Cu eq/kg
Raw;in ground;Copper;Copper;#9467bd;2.891153415397432e-05;AU;a9ac40a0-9bea-4c48-afa7-66aa6eb90624;7440-50-8;kg Cu eq/kg
Raw;in ground;Diatomite;Diatomite;#2ca02c;0.0241847710224145;AU;9877ce00-65f8-4c0c-9fcf-92aa53a2c9c0;61790-53-2;kg Cu eq/kg
Raw;in ground;Feldspar;Feldspar;#e377c2;0.04144087024769985;AU;26296ec9-ff93-41e6-bbbf-6175af04284d;68476-25-5;kg Cu eq/kg
Raw;in ground;Fluorspar;Fluorspar;#c7c7c7;0.5951981436100151;AU;0fa4f51e-b0dc-5d11-84d3-b32f0f3c88d5;14542-23-5;kg Cu eq/kg
Raw;in ground;Germanium;Germanium;#dbdb8d;0.0;AU;d3e547dc-1a29-5ece-8dbb-bd9c0ad3cc46;7440-56-4;kg Cu eq/kg
Raw;in ground;Gold;Gold;#dbdb8d;619.0878276984363;AU;d080e6a4-42c6-484e-b5d7-d74693aec7d9;7440-57-5;kg Cu eq/kg
Raw;in ground;Graphite;Graphite;#17becf;1.527503627035971;AU;5666353e-2db2-41d3-8414-404709151422;7782-42-5;kg Cu eq/kg
Raw;in ground;Anhydrite;Gypsum;#1f77b4;6.084582496168405e-05;AU;6df9ea09-115a-4678-9f30-d92c877a46ec;7778-18-9;kg Cu eq/kg
Raw;in ground;Gypsum;Gypsum;#1f77b4;6.084582496168405e-05;AU;11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6;13397-24-5;kg Cu eq/kg
Raw;in ground;Iron;Iron;#ffbb78;7.288431054036045e-05;AU;8ce3ff02-7a1e-48e3-881e-3248b944f28a;7439-89-6;kg Cu eq/kg
Raw;in ground;Kaolinite;Kaolin;#2ca02c;0.00606936299353246;AU;81ff5c0b-c44f-534e-a55e-8fc017e33dd2;;kg Cu eq/kg
Raw;in ground;Lead;Lead;#2ca02c;0.1443907629019723;AU;fbcb9c7a-eea7-4694-ba6c-568e01d28883;7439-92-1;kg Cu eq/kg
Raw;in ground;Coal, brown;Lignite;#4D4D4D;6.425012773312823e-07;AU;024c9722-1e88-412b-8c4b-10c532be8dca;;kg Cu eq/kg
Raw;in ground;Lithium;Lithium;#A9CBA7;0.0328387284595472;AU;7d2c1cdd-a64a-5936-a577-5b82db0c0d1b;7439-93-2;kg Cu eq/kg
Raw;in ground;Magnesite;Magnesite;#c5b0d5;0.0001228506936507683;AU;a4bab069-74a9-5b4c-8d6e-5ca984cd9ecd;546-93-0;kg Cu eq/kg
Raw;in ground;Magnesium;Magnesite;#9467bd;0.0001228506936507683;AU;9e5823ad-9d9b-4b98-b627-e39611b6a8bd;546-93-0;kg Cu eq/kg
Raw;in ground;Manganese;Manganese;#7f7f7f;0.003145288412846167;AU;c2586875-bb56-4b1e-84c5-5ff255a1108b;7439-96-5;kg Cu eq/kg
Raw;in ground;Mercury;Mercury;#8c564b;8.06420647824723;AU;54b9cbd0-65df-4fd3-8a19-dd3b8eccc619;7439-97-6;kg Cu eq/kg
Raw;in ground;Molybdenum;Molybdenum;#c49c94;0.0;AU;e5a3dff5-72dc-5287-893c-597dd4a19566;7439-98-7;kg Cu eq/kg
Raw;in ground;Gas, natural;Natural gas;#FFE680;0.001646992517482349;AU;7c337428-fb1b-45c7-bbb2-2ee4d29e17ba;8006-14-2;kg Cu eq/kg
Raw;in ground;Nickel;Nickel;#c49c94;0.00845424471481931;AU;974213ef-1ba0-40e5-bc7b-52ef099e9e09;7440-02-0;kg Cu eq/kg
Raw;in ground;Niobium;Niobium;#bcbd22;31.68103968350592;AU;8de8befc-efa2-5d07-a58b-b29ea97a3f41;7440-03-1;kg Cu eq/kg
Raw;in ground;Palladium;Palladium;#f7b6d2;10411.79613392995;AU;edc69c63-a776-4dbf-acbf-e0368914980a;7440-05-3;kg Cu eq/kg
Raw;in ground;Oil, crude;Crude oil;#FFB570;0.02449802431329072;AU;88d06db9-59a1-4719-9174-afeb1fa4026a;;kg Cu eq/kg
Raw;in ground;Phosphorus;Phosphate;#c7c7c7;0.03243245528655043;AU;483ae3c5-4eb0-46e4-b811-a72ad391716b;;kg Cu eq/kg
Raw;in ground;Platinum;Platinum;#bcbd22;11284.55484192246;AU;d13b2665-505d-49e2-8edd-dc966b0342af;7440-06-4;kg Cu eq/kg
Raw;in ground;Cerium;Rare earth;#1f77b4;0.05742231260054973;AU;4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d;;kg Cu eq/kg
Raw;in ground;Dysprosium;Rare earth;#98df8a;0.05742231260054973;AU;9e28eac3-49f9-5a0d-a8d0-dc4e071ad9e6;7429-91-6;kg Cu eq/kg
Raw;in ground;Erbium;Rare earth;#cccccc;0.05742231260054973;AU;110a04f0-af53-5499-b22e-79b1b91e5a66;7440-52-0;kg Cu eq/kg
Raw;in ground;Europium;Rare earth;#d62728;0.05742231260054973;AU;3d73ec21-de4d-5b68-b504-4ef59e15bd0e;7440-53-1;kg Cu eq/kg
Raw;in ground;Gadolinium;Rare earth;#9467bd;0.05742231260054973;AU;f55e2203-ef91-50bf-8f5a-119bb210522c;7440-54-2;kg Cu eq/kg
Raw;in ground;Holmium;Rare earth;#cccccc;0.05742231260054973;AU;f2f53dc8-8e09-511f-8dd2-4bae3625ba27;7440-60-0;kg Cu eq/kg
Raw;in ground;Lanthanum;Rare earth;#7f7f7f;0.05742231260054973;AU;176598c1-699c-5dd8-8c33-d269ff7f5edd;;kg Cu eq/kg
Raw;in ground;Lutetium;Rare earth;#cccccc;0.05742231260054973;AU;d9a2f8e5-f04a-5ffa-8c75-8133ac7f525c;7439-94-3;kg Cu eq/kg
