Activity;Product;Geography;Matched Substance;Color;Formula;Product_Percentage;Atomic_Percentage;Final_Percentage
asbestos production, chrysotile type;asbestos, chrysotile type;GLO;Chrysotile;#aec7e8;H4Mg3O9Si2;1;100;100
barite production;barite;CA-QC;Barium;#000000;Ba;1;58.84190365;58.84190365
barite production;barite;RoW;Barium;#000000;Ba;1;58.84190365;58.84190365
barite production;barite;RER;Barium;#000000;Ba;1;58.84190365;58.84190365
basalt quarry operation;basalt;RoW;Basalt;#ff7f0e;;1;100;100
basalt quarry operation;basalt;RER;Basalt;#ff7f0e;;1;100;100
bauxite mine operation;bauxite;GLO;Aluminium;#000000;Al;1;100;100
bentonite quarry operation;bentonite;DE;bentonite;;;1;100;100
bentonite quarry operation;bentonite;RoW;bentonite;;;1;100;100
beryllium hydroxide production;beryllium hydroxide;RoW;Beryllium;#ffbb78;Be;1;20.94581125;20.94581125
beryllium hydroxide production;beryllium hydroxide;US;Beryllium;#ffbb78;Be;1;20.94581125;20.94581125
burnt shale production;burnt shale;DE;Shale;#98df8a;;1;100;100
burnt shale production;electricity, medium voltage;DE;electricity, medium voltage;;;1;100;100
burnt shale production;burnt shale;RoW;Shale;#98df8a;;1;100;100
burnt shale production;electricity, medium voltage;RoW;electricity, medium voltage;;;1;100;100
chromite ore concentrate production;chromite ore concentrate;RoW;Chromium;#000000;Cr;1;100;100
chromite ore concentrate production;chromite ore concentrate;KZ;Chromium;#000000;Cr;1;100;100
clay pit operation;clay;CH;Clay, unspecified;#000000;;1;100;100
clay pit operation;clay;RoW;Clay, unspecified;#000000;;1;100;100
cobalt production;ammonia, anhydrous, liquid;GLO;ammonia, anhydrous, liquid;;;1;100;100
cobalt production;ammonium sulfate;GLO;ammonium sulfate;;H8N2O4S;1;100;100
cobalt production;calcium carbonate, precipitated;GLO;Calcium;#d62728;Ca;1;40.04356254;40.04356254
cobalt production;cobalt;GLO;Cobalt;#ff9896;Co;1;100;100
cobalt production;cobalt acetate;GLO;Cobalt;#ff9896;Co;1;33.29160349;33.29160349
cobalt production;cobalt carbonate;GLO;Cobalt;#ff9896;Co;1;49.54817756;49.54817756
cobalt production;cobalt hydroxide;GLO;Cobalt;#ff9896;Co;1;63.40502759;63.40502759
cobalt production;cobalt oxide;GLO;Cobalt;#ff9896;Co;1;73.42310043;73.42310043
cobalt production;copper cake;GLO;Copper;#9467bd;Cu;1;100;100
cobalt production;copper concentrate, sulfide ore;GLO;Copper;#9467bd;Cu;1;100;100
cobalt production;copper, anode;GLO;Copper;#9467bd;Cu;1;100;100
cobalt production;copper, cathode;GLO;Copper;#9467bd;Cu;1;100;100
cobalt production;electricity, high voltage;GLO;electricity, high voltage;;;1;100;100
cobalt production;electrolyte, copper-rich;GLO;Copper;#9467bd;Cu;1;100;100
cobalt production;electrolyte, nickel-rich;GLO;Nickel;#c49c94;Ni;1;100;100
cobalt production;ferronickel;GLO;Nickel;#c49c94;Ni;1;100;100
cobalt production;nickel concentrate, 16% Ni;GLO;Nickel;#c49c94;Ni;0.16;100;16
cobalt production;nickel sulfate;GLO;Nickel;#c49c94;Ni;1;37.92803074;37.92803074
cobalt production;nickel, class 1;GLO;Nickel;#c49c95;Ni;1;100;100
cobalt production;sulfur;GLO;Sulfur;#2ca02c;S;1;100;100
cobalt production;sulfuric acid;GLO;Sulfur;#2ca02c;S;1;32.69026837;32.69026837
cobalt production;zinc sulfide;GLO;Zinc;#8c564b;Zn;1;67.09770115;67.09770115
cobwork production;cobwork;CH;cobwork;;;1;100;100
cobwork production;cobwork;RoW;cobwork;;;1;100;100
colemanite mine operation and beneficiation;calcium borates;RoW;Calcium;#d62728;Ca;1;100;100
colemanite mine operation and beneficiation;calcium borates;TR;Calcium;#d62728;Ca;1;100;100
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;AU;Copper;#9467bd;Cu;1;100;100
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;CA;Copper;#9467bd;Cu;1;100;100
copper mine operation and beneficiation, sulfide ore;molybdenite;CA;Molybdenum;#c49c94;Mo;1;59.94252515;59.94252515
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;CL;Copper;#9467bd;Cu;1;100;100
copper mine operation and beneficiation, sulfide ore;molybdenite;CL;Molybdenum;#c49c94;Mo;1;59.94252515;59.94252515
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;CN;Copper;#9467bd;Cu;1;100;100
copper mine operation and beneficiation, sulfide ore;molybdenite;CN;Molybdenum;#c49c94;Mo;1;59.94252515;59.94252515
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;ID;Copper;#9467bd;Cu;1;100;100
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;KZ;Copper;#9467bd;Cu;1;100;100
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;RU;Copper;#9467bd;Cu;1;100;100
copper mine operation and beneficiation, sulfide ore;molybdenite;RU;Molybdenum;#c49c94;Mo;1;59.94252515;59.94252515
copper mine operation and beneficiation, sulfide ore;copper concentrate, sulfide ore;RoW;Copper;#9467bd;Cu;1;100;100
