column;Activity;Product;Geography;Matched Substance;Color
1747;cobalt production;ammonia, anhydrous, liquid;GLO;;#000000
1748;cobalt production;ammonium sulfate;GLO;;#000000
607;barite production;barite;CA-QC;Barium;#000000
608;barite production;barite;RoW;Barium;#000000
609;barite production;barite;RER;Barium;#000000
16503;niobium mine operation and beneficiation, from pyrochlore ore;barite;BR;Barium;#000000
16506;niobium mine operation and beneficiation, from pyrochlore ore;barite;RoW;Barium;#000000
724;bauxite mine operation;bauxite;GLO;Aluminium;#000000
775;bentonite quarry operation;bentonite;DE;;#000000
776;bentonite quarry operation;bentonite;RoW;;#000000
1421;chromite ore concentrate production;chromite ore concentrate;RoW;Chromium;#000000
1422;chromite ore concentrate production;chromite ore concentrate;KZ;Chromium;#000000
1476;clay pit operation;clay;CH;Clay, unspecified;#000000
1477;clay pit operation;clay;RoW;Clay, unspecified;#000000
1771;cobwork production;cobwork;CH;;#000000
1772;cobwork production;cobwork;RoW;;#000000
1759;cobalt production;electricity, high voltage;GLO;;#000000
17321;petroleum refinery operation;electricity, high voltage;CH;;#000000
1002;burnt shale production;electricity, medium voltage;DE;;#000000
1004;burnt shale production;electricity, medium voltage;RoW;;#000000
7439;intral production;intral;RoW;;#000000
7440;intral production;intral;RER;;#000000
8055;latex production;latex;RoW;;#000000
8056;latex production;latex;RER;;#000000
8160;lime production, algae;lime;FR;;#000000
23489;zinc mine operation;lime;GLO;;#000000
8188;limestone quarry operation;limestone, unprocessed;CA-QC;;#000000
8189;limestone quarry operation;limestone, unprocessed;CH;;#000000
8190;limestone quarry operation;limestone, unprocessed;RoW;;#000000
8191;limestone quarry operation;limestone, unprocessed;IN;;#000000
17325;petroleum refinery operation;liquefied petroleum gas;CH;Oil, crude;#c5b0d5
8474;malusil production;malusil;RoW;;#000000
8475;malusil production;malusil;RER;;#000000
16487;natural stone plate production, cut;natural stone plate, cut;CH;;#000000
16488;natural stone plate production, cut;natural stone plate, cut;RoW;;#000000
16979;packaging glass production, brown;packaging glass, brown;CH;;#000000
16984;packaging glass production, green;packaging glass, green;CH;;#000000
16989;packaging glass production, white;packaging glass, white;CH;;#000000
17787;portafer production;portafer;CA-QC;;#000000
17788;portafer production;portafer;RoW;;#000000
17789;portafer production;portafer;RER;;#000000
17790;potash salt production;potash salt;RoW;;#000000
17791;potash salt production;potash salt;RER;;#000000
16505;niobium mine operation and beneficiation, from pyrochlore ore;pyrochlore concentrate;BR;;#000000
16508;niobium mine operation and beneficiation, from pyrochlore ore;pyrochlore concentrate;RoW;;#000000
23490;zinc mine operation;quicklime, milled, loose;GLO;;#000000
18078;rare earth element mine operation and beneficiation, ion adsorption clays;rare earth carbonate concentrate;CN;Rare earth;#000000
18079;rare earth element mine operation and beneficiation, ion adsorption clays;rare earth carbonate concentrate;RoW;Rare earth;#000000
18076;rare earth element mine operation and beneficiation, bastnaesite and monazite ore;rare earth oxide concentrate, 50% REO;CN-NM;Rare earth;#000000
18077;rare earth element mine operation and beneficiation, bastnaesite ore;rare earth oxide concentrate, 70% REO;CN-SC;Rare earth;#000000
5994;gravel and sand quarry operation;sand;CH;;#000000
5996;gravel and sand quarry operation;sand;RoW;;#000000
18261;sand quarry operation, extraction from river bed;sand;BR;;#000000
18262;sand quarry operation, extraction from river bed;sand;RoW;;#000000
18263;sand quarry operation, extraction from river bed;sand;IN;;#000000
18264;sand quarry operation, open pit mine;sand;BR;;#000000
23491;zinc mine operation;sand;GLO;;#000000
18848;stibnite mine operation and beneficiation;stibnite concentrate;CA-QC;;#000000
18849;stibnite mine operation and beneficiation;stibnite concentrate;CN;;#000000
18850;stibnite mine operation and beneficiation;stibnite concentrate;RoW;;#000000
19068;sweet gas, burned in gas turbine;sweet gas;GLO;;#000000
23475;zeolite production, powder;zeolite, powder;RoW;;#000000
23476;zeolite production, powder;zeolite, powder;RER;;#000000
23477;zeolite production, slurry, without water, in 50% solution state;zeolite, slurry, without water, in 50% solution state;RoW;;#000000
23478;zeolite production, slurry, without water, in 50% solution state;zeolite, slurry, without water, in 50% solution state;RER;;#000000
5975;graphite production;graphite;RoW;Graphite;#17becf
5976;graphite production;graphite;RER;Graphite;#17becf
17998;pumice quarry operation;pumice;DE;Pumice;#17becf
17999;pumice quarry operation;pumice;RoW;Pumice;#17becf
6037;gypsum quarry operation;anhydrite rock;CH;Anhydrite;#1f77b4
6039;gypsum quarry operation;anhydrite rock;RoW;Anhydrite;#1f77b4
6041;gypsum quarry operation;anhydrite rock;IN;Anhydrite;#1f77b4
6043;gypsum quarry operation;anhydrite rock;ZA;Anhydrite;#1f77b4
6038;gypsum quarry operation;gypsum, mineral;CH;Gypsum;#1f77b4
6040;gypsum quarry operation;gypsum, mineral;RoW;Gypsum;#1f77b4
6042;gypsum quarry operation;gypsum, mineral;IN;Gypsum;#1f77b4
6044;gypsum quarry operation;gypsum, mineral;ZA;Gypsum;#1f77b4
5948;gold mine operation and refining;silver;SE;Silver;#1f77b4
5962;gold-silver mine operation with refinery;silver;CA-QC;Silver;#1f77b4
5964;gold-silver mine operation with refinery;silver;RoW;Silver;#1f77b4
5966;gold-silver mine operation with refinery;silver;PG;Silver;#1f77b4
18484;silver-gold mine operation with refinery;silver;CL;Silver;#1f77b4
18486;silver-gold mine operation with refinery;silver;RoW;Silver;#1f77b4
18481;silver mine operation with extraction;silver, unrefined;PE;Silver;#1f77b4
18623;sodium sulfate production, from natural sources;sodium sulfate, anhydrite;RoW;Anhydrite;#1f77b4
18624;sodium sulfate production, from natural sources;sodium sulfate, anhydrite;RER;Anhydrite;#1f77b4
23485;zinc mine operation;bulk lead-zinc concentrate;GLO;Lead;#2ca02c
7550;kaolin production;kaolin;RoW;Kaolinite;#2ca02c
7551;kaolin production;kaolin;RER;Kaolinite;#2ca02c
5947;gold mine operation and refining;lead;SE;Lead;#2ca02c
5959;gold-silver mine operation and beneficiation;lead concentrate;CA-QC;Lead;#2ca02c
