column;Activity;Product;Geography;Matched Substance;Color
1747.0;cobalt production;ammonia, anhydrous, liquid;GLO;;#000000
1748.0;cobalt production;ammonium sulfate;GLO;;#000000
6037.0;gypsum quarry operation;anhydrite rock;CH;Gypsum;#1f77b4
6039.0;gypsum quarry operation;anhydrite rock;RoW;Gypsum;#1f77b4
6041.0;gypsum quarry operation;anhydrite rock;IN;Gypsum;#1f77b4
6043.0;gypsum quarry operation;anhydrite rock;ZA;Gypsum;#1f77b4
552.0;asbestos production, chrysotile type;asbestos, chrysotile type;GLO;Asbestos;#aec7e8
607.0;barite production;barite;CA-QC;Baryte;#000000
608.0;barite production;barite;RoW;Baryte;#000000
609.0;barite production;barite;RER;Baryte;#000000
16503.0;niobium mine operation and beneficiation, from pyrochlore ore;barite;BR;Baryte;#000000
16506.0;niobium mine operation and beneficiation, from pyrochlore ore;barite;RoW;Baryte;#000000
660.0;basalt quarry operation;basalt;RoW;Basalt;#ff7f0e
661.0;basalt quarry operation;basalt;RER;Basalt;#ff7f0e
724.0;bauxite mine operation;bauxite;GLO;Bauxite;#000000
775.0;bentonite quarry operation;bentonite;DE;Bentonite;#000000
776.0;bentonite quarry operation;bentonite;RoW;Bentonite;#000000
794.0;beryllium hydroxide production;beryllium hydroxide;RoW;Beryllium;#ffbb78
795.0;beryllium hydroxide production;beryllium hydroxide;US;Beryllium;#ffbb78
23485.0;zinc mine operation;bulk lead-zinc concentrate;GLO;Lead;#2ca02c
1001.0;burnt shale production;burnt shale;DE;Shale;#98df8a
1003.0;burnt shale production;burnt shale;RoW;Shale;#98df8a
1832.0;colemanite mine operation and beneficiation;calcium borates;RoW;Boron;#d62728
1833.0;colemanite mine operation and beneficiation;calcium borates;TR;Boron;#d62728
1749.0;cobalt production;calcium carbonate, precipitated;GLO;Calcium;#d62728
1421.0;chromite ore concentrate production;chromite ore concentrate;RoW;Chromite;#000000
1422.0;chromite ore concentrate production;chromite ore concentrate;KZ;Chromite;#000000
1476.0;clay pit operation;clay;CH;Clay, unspecified;#000000
1477.0;clay pit operation;clay;RoW;Clay, unspecified;#000000
1750.0;cobalt production;cobalt;GLO;Cobalt;#ff9896
1751.0;cobalt production;cobalt acetate;GLO;Cobalt;#ff9896
1752.0;cobalt production;cobalt carbonate;GLO;Cobalt;#ff9896
1753.0;cobalt production;cobalt hydroxide;GLO;Cobalt;#ff9896
1754.0;cobalt production;cobalt oxide;GLO;Cobalt;#ff9896
1771.0;cobwork production;cobwork;CH;;#000000
1772.0;cobwork production;cobwork;RoW;;#000000
1755.0;cobalt production;copper cake;GLO;Copper;#9467bd
1756.0;cobalt production;copper concentrate, sulfide ore;GLO;Copper;#9467bd
