column;activityName;product;geography;;system process
552;asbestos production, chrysotile type;asbestos, chrysotile type;GLO;;2
607;barite production;barite;CA-QC;;2
608;barite production;barite;RoW;;2
609;barite production;barite;RER;;2
660;basalt quarry operation;basalt;RoW;;2
661;basalt quarry operation;basalt;RER;;2
724;bauxite mine operation;bauxite;GLO;;2
775;bentonite quarry operation;bentonite;DE;;2
776;bentonite quarry operation;bentonite;RoW;;2
794;beryllium hydroxide production;beryllium hydroxide;RoW;;2
795;beryllium hydroxide production;beryllium hydroxide;US;;2
1001;burnt shale production;burnt shale;DE;;2
1002;burnt shale production;electricity, medium voltage;DE;;2
1003;burnt shale production;burnt shale;RoW;;2
1004;burnt shale production;electricity, medium voltage;RoW;;2
1421;chromite ore concentrate production;chromite ore concentrate;RoW;;2
1422;chromite ore concentrate production;chromite ore concentrate;KZ;;2
1476;clay pit operation;clay;CH;;2
1477;clay pit operation;clay;RoW;;2
1747;cobalt production;ammonia, anhydrous, liquid;GLO;;2
1748;cobalt production;ammonium sulfate;GLO;;2
1749;cobalt production;calcium carbonate, precipitated;GLO;;2
1750;cobalt production;cobalt;GLO;;2
1751;cobalt production;cobalt acetate;GLO;;2
1752;cobalt production;cobalt carbonate;GLO;;2
1753;cobalt production;cobalt hydroxide;GLO;;2
1754;cobalt production;cobalt oxide;GLO;;2
1755;cobalt production;copper cake;GLO;;2
1756;cobalt production;copper concentrate, sulfide ore;GLO;;2
1757;cobalt production;copper, anode;GLO;;2
1758;cobalt production;copper, cathode;GLO;;2
1759;cobalt production;electricity, high voltage;GLO;;2
1760;cobalt production;electrolyte, copper-rich;GLO;;2
1761;cobalt production;electrolyte, nickel-rich;GLO;;2
1762;cobalt production;ferronickel;GLO;;2
1763;cobalt production;nickel concentrate, 16% Ni;GLO;;2
1764;cobalt production;nickel sulfate;GLO;;2
1765;cobalt production;nickel, class 1;GLO;;2
1766;cobalt production;sulfur;GLO;;2
1767;cobalt production;sulfuric acid;GLO;;2
1768;cobalt production;zinc sulfide;GLO;;2
1771;cobwork production;cobwork;CH;;2
1772;cobwork production;cobwork;RoW;;2
1832;colemanite mine operation and beneficiation;calcium borates;RoW;;2
1833;colemanite mine operation and beneficiation;calcium borates;TR;;2
