method;category;indicator;unitName;index
CML v4.8 2016 no LT;acidification no LT;acidification (incl. fate, average Europe total, A&B) no LT;kg SO2-Eq;0
CML v4.8 2016 no LT;climate change no LT;global warming potential (GWP100) no LT;kg CO2-Eq;1
CML v4.8 2016 no LT;ecotoxicity: freshwater no LT;freshwater aquatic ecotoxicity (FAETP inf) no LT;kg 1,4-DCB-Eq;2
CML v4.8 2016 no LT;ecotoxicity: marine no LT;marine aquatic ecotoxicity (MAETP inf) no LT;kg 1,4-DCB-Eq;3
CML v4.8 2016 no LT;ecotoxicity: terrestrial no LT;terrestrial ecotoxicity (TETP inf) no LT;kg 1,4-DCB-Eq;4
CML v4.8 2016 no LT;energy resources: non-renewable no LT;abiotic depletion potential (ADP): fossil fuels no LT;MJ;5
CML v4.8 2016 no LT;eutrophication no LT;eutrophication (fate not incl.) no LT;kg PO4-Eq;6
CML v4.8 2016 no LT;human toxicity no LT;human toxicity (HTP inf) no LT;kg 1,4-DCB-Eq;7
CML v4.8 2016 no LT;material resources: metals/minerals no LT;abiotic depletion potential (ADP): elements (ultimate reserves) no LT;kg Sb-Eq;8
CML v4.8 2016 no LT;ozone depletion no LT;ozone layer depletion (ODP steady state) no LT;kg CFC-11-Eq;9
CML v4.8 2016 no LT;photochemical oxidant formation no LT;photochemical oxidation (high NOx) no LT;kg ethylene-Eq;10
CML v4.8 2016;acidification;acidification (incl. fate, average Europe total, A&B);kg SO2-Eq;11
CML v4.8 2016;climate change;global warming potential (GWP100);kg CO2-Eq;12
CML v4.8 2016;ecotoxicity: freshwater;freshwater aquatic ecotoxicity (FAETP inf);kg 1,4-DCB-Eq;13
CML v4.8 2016;ecotoxicity: marine;marine aquatic ecotoxicity (MAETP inf);kg 1,4-DCB-Eq;14
CML v4.8 2016;ecotoxicity: terrestrial;terrestrial ecotoxicity (TETP inf);kg 1,4-DCB-Eq;15
CML v4.8 2016;energy resources: non-renewable;abiotic depletion potential (ADP): fossil fuels;MJ;16
CML v4.8 2016;eutrophication;eutrophication (fate not incl.);kg PO4-Eq;17
CML v4.8 2016;human toxicity;human toxicity (HTP inf);kg 1,4-DCB-Eq;18
CML v4.8 2016;material resources: metals/minerals;abiotic depletion potential (ADP): elements (ultimate reserves);kg Sb-Eq;19
CML v4.8 2016;ozone depletion;ozone layer depletion (ODP steady state);kg CFC-11-Eq;20
CML v4.8 2016;photochemical oxidant formation;photochemical oxidation (high NOx);kg ethylene-Eq;21
Crustal Scarcity Indicator 2020;material resources: metals/minerals;crustal scarcity potential (CSP);kg Si-Eq;22
Cumulative Energy Demand (CED);energy resources: non-renewable;energy content (HHV);MJ-Eq;23
Cumulative Energy Demand (CED);energy resources: non-renewable, biomass;energy content (HHV);MJ-Eq;24
Cumulative Energy Demand (CED);energy resources: non-renewable, fossil;energy content (HHV);MJ-Eq;25
Cumulative Energy Demand (CED);energy resources: non-renewable, nuclear;energy content (HHV);MJ-Eq;26
Cumulative Energy Demand (CED);energy resources: renewable;energy content (HHV);MJ-Eq;27
Cumulative Energy Demand (CED);energy resources: renewable, biomass;energy content (HHV);MJ-Eq;28
Cumulative Energy Demand (CED);energy resources: renewable, geothermal;energy content (HHV);MJ-Eq;29
Cumulative Energy Demand (CED);energy resources: renewable, geothermal, solar, wind;energy content (HHV);MJ-Eq;30
Cumulative Energy Demand (CED);energy resources: renewable, solar;energy content (HHV);MJ-Eq;31
Cumulative Energy Demand (CED);energy resources: renewable, water;energy content (HHV);MJ-Eq;32
Cumulative Energy Demand (CED);energy resources: renewable, wind;energy content (HHV);MJ-Eq;33
Cumulative Energy Demand (CED);total;energy content (HHV);MJ-Eq;34
Cumulative Exergy Demand (CExD);energy resources: non-renewable;exergy content;MJ-Eq;35
