index;activityName;geography;product;unitName
0;1,1-difluoroethane production;RoW;1,1-difluoroethane;kg
1;1,1-difluoroethane production;US;1,1-difluoroethane;kg
2;1,1-dimethylcyclopentane to generic market for solvent, organic;GLO;solvent, organic;kg
3;1,3-dichloropropene to generic market for pesticide, unspecified;GLO;pesticide, unspecified;kg
4;1,4-butanediol production;RoW;1,4-butanediol;kg
5;1,4-butanediol production;RER;1,4-butanediol;kg
6;1-methoxy-2-propanol production;GLO;1-methoxy-2-propanol;kg
7;1-methylcyclopropene production;GLO;1-methylcyclopropene;kg
8;1-methylcyclopropene production;GLO;sodium chloride, powder;kg
9;1-naphthylacetic acid production;GLO;1-naphthylacetic acid;kg
10;1-propanol production;RoW;1-propanol;kg
11;1-propanol production;RER;1-propanol;kg
12;2,3-dimethylbutan to generic market for solvent, organic;GLO;solvent, organic;kg
13;2,4-di-tert-butylphenol production;GLO;2,4-di-tert-butylphenol;kg
14;2,4-dichlorophenol production;RoW;2,4-dichlorophenol;kg
15;2,4-dichlorophenol production;RER;2,4-dichlorophenol;kg
16;2,4-dichlorotoluene production;RoW;2,4-dichlorotoluene;kg
17;2,4-dichlorotoluene production;RER;2,4-dichlorotoluene;kg
18;2,4-dinitrotoluene production;RoW;2,4-dinitrotoluene;kg
19;2,4-dinitrotoluene production;RER;2,4-dinitrotoluene;kg
20;2,5-dimethylhexane-2,5-dihydroperoxide production;GLO;2,5-dimethylhexane-2,5-dihydroperoxide;kg
21;2,6-di-tert-butylphenol production;GLO;2,6-di-tert-butylphenol;kg
22;2-butanol production by hydration of butene;RoW;2-butanol;kg
23;2-butanol production by hydration of butene;RoW;butane;kg
24;2-butanol production by hydration of butene;RER;2-butanol;kg
25;2-butanol production by hydration of butene;RER;butane;kg
26;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RoW;2-cyclopentanone;kg
27;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RoW;formic acid;kg
28;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RER;2-cyclopentanone;kg
29;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RER;formic acid;kg
30;2-methyl-2-butanol production;RoW;2-methyl-2-butanol;kg
31;2-methyl-2-butanol production;RER;2-methyl-2-butanol;kg
32;2-methylpentane to generic market for solvent, organic;GLO;solvent, organic;kg
